reviewContent,sentiment
kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,neg
"Baguss bangett kurir nya jga ramah, cakep pula wkwk. Ini 64gb tp cmn 58 sekian gb tp gpp lah yah... Pokok nya recomended deh....",pos
produk dah sampai kemasan rapih pengiriman cepat barang  bagus pembayaran cod tidak perlu diragukan lagi 👍👍,pos
barangnya bagus banget.. sesuai dengan gambar dn deskripsi.. pengiriman cepat.. bagus dn recomended bangt..👍,pos
"packing tanpa bubble warp. fisik no minus. Cuma 58 GB, bukan 64. ya lumayan",pos
barang ok .. packing Rapii .. Kurir nya Ramahh .. Puass ..,pos
produk original mantap semoga awet,pos
baik. sesuai ekspektasi.,pos
Barang nya oke makasih,pos
Tumben ninja cepat pengirimannya,pos
barang asli dan original terimakasih maju terus toko jet store,pos
"Flashdisk nya bagus, sesuai picture, barang cepat sampai, kurir ramah",pos
oke... mudah2an awet dan ga crash belum sempet d coba,pos
kapasitas cumA 58 gb ajaaaaa....  huft...,neg
katanya 64 GB nyatanya cuman 58 GB,neg
"thks ya barang sdh sampai,smga cocok",pos
siippp...thank lazada,pos
udah di trima ...barang OK Moga awet...,pos
josss tenan,pos
"Ini ori, bagus tahan lama masih saya pake",pos
kampret kaga kebaca!!,neg
barang bagus quick respon hari ini pesan besok sudah sampai,pos
brang cukup bagus,pos
Sip mantap,pos
bagus ori!,pos
real good,pos
bagus,pos
good,pos
"pengiriman sangat lama, tgl 19 di pesan, tgl 22 barang baru dikemas, tgl 23 baru diambil ekspedisi, tgl 25 baru sampai. Masih dijabotabek tapi lama.",neg
"barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",neg
"Barang diterima pada hari akhir yg dijadwalkan, yaitu malam hari. Kondisi barang terlindungi dengan packing bawaan unit.  Kualitas unit adalah kualitas Sharp. Semoga awet. Bila unit ini dikirim dari gudang Lazada di Bogor, mestinya bisa lebih cpt tiba, bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di Bogor.",pos
masukan saja.. klo bisa packingnya jangan asal.. dikasih buble wrap minimal.. ini cuma dipacking pakai plastik biasa.. sempet khawatir pecah.. tpi untung gk terjadi . ..,neg
pesanan sesuai dgn yg di gambar .....skrg sy lg coba smoga awet...,pos
Pengiriman tidak sesuai tanggal yang tertera,neg
sesuai... no tipu2,pos
barang ok packing rapih,pos
"Barangnya sampai dengan cepat, bagus, terimakasih lazada.",pos
"pengiriman cepat packirng rapih harga murah, free ongkir",pos
mantapp barang nya sesuai pesanan,pos
Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,neg
hati hati ini tv ga bisa pake USB,neg
puas,pos
puas,pos
mantap,pos
mantap,pos
Sangat puas dengan produknya. Terimakasih..,pos
"Memuaskan, produk sesuai deskripsi, packing bagus, dan penerimaan produk cepat untuk saya yg berada di jkt",pos
"Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",neg
"GAN SAYA SARANKAN UNTUK LEBIH BERHATI-HATI DALAM MEMBELI, FLASHDISK YANG DIKIRIM KE SAYA ADALAH FLASHDISK REKONDISI (DAUR ULANG BEKAS).  JANGAN TERTIPU OLEH HARGA. MAS DOSA MAS BOHONG. DI FLASHDISKNYA ADA TULISAN NAMA ""ARYO"" YANG SENGAJA DIHAPUS TP KURANG BERSIH. FILE YANG DIKIRIM KE FLASHDISK JUGA ERROR. MAKAN DUIT HARAM MAS. KENYANG TP GA BERKAH.",neg
"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",neg
Palsu,neg
VERY GOOD,pos
"korup terus klo di copy ke fd,mengecewakan",neg
"hardisknya keren, pelindungnya kokoh , udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada",pos
"Sampainya agak lama tapi puas, packing rapi dan pas dateng warnanya biru seneng banget gan hehe. Top deh semoga awet barangnya",pos
"Trims Lazada & reseller, , barang sdh saya terima senin siang, penigiriman sesuai dengan yg di informasikan.",pos
sesuai spek yg saya mau.. jd oke lah,pos
barangnya bagus.  rapi tidak mengecewakan.  akan tetapi bagus kalau ada Bonus pouch nya.  hehhe,pos
"barang udah sampe gunn,, masih segell dari pabriknya,, mangstabb,,",pos
barang tlah diterima kondisi baik,pos
mantap,pos
"Barang sesuai deskripsi,penjual ramah,respon cepat..",pos
"Packaging rapi, flashdiksnya ORI, kapasitasnya sesuai dengan detail produk yang dicantumkan dan foto dengan barangnya sesuai + barangnya datang sesuai tepat waktu. Makasih ya.. 😘",pos
"flashdisknya sudah diterima dengan baik. kapasitas total 58,544,586,752 bytes dengan FAT32. menjadi 62,885,724,160 bytes kalau diformat dengan exFAT. write speed 10MB/s dan read 30 MB/s dengan port USB 2.0, belum dicoba dengan port usb 3.0.",pos
"Terima kasih, barang bagus dan respon penjual sgt baik.",pos
"Barang sudah diterima dgn baik. Packing rapih. Tp isinya cuma 58GB. Selebihnya, oke",pos
pas cocok buat anda semua. bgus. sesuai deskripsi.,pos
PUAS,pos
"flashdisk 64gb casing metal, baguss",pos
Sesuai deskripsi,pos
"barang dah sampai, makasih",pos
mantap barang gak minus sama sekali,pos
"pengiriman cepat, packing cukup bagus",pos
Biarkan bintang yang berbicara ... 👌👍,pos
"Barangnya ok, cepat sampai",pos
"Pengirimannya cepat, produk baik",pos
Barang  sesuai dengan deskripsi dan berfungsi baik.,pos
"sampai cepat, barang sesuai.",pos
dikirim hari berikutnya dan barang mulus,pos
oke,pos
baik,pos
"TV LED dengan pilihan input yang lengkap (HDMI, DV, VGA). Kami beli untuk keperluan kantor yang penggunaannya bisa multi-source. Panasonic satu-satunya merk yang menyediakan fasilitas ini (sepanjang pengetahuan kami). Kualitas gambar juga bagus, dengan bezel tipis yang memberikan kesan ""lega"" ... extra bracket memudahkan pemasangan di dinding. Bravo Panasonic!",pos
Cuma butuh waktu 12 jam unit tiba.. thks,pos
Pokonya puas..,pos
"Puas bgt pengiriman sesuai jadwal, barang bagus, packing rapih buat maen game enak bgt hihii, murah lagi, tenkyu lazada",pos
Saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi. Untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,pos
"Saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada..hanya keterangan saja di dusnya bahwa barang ini Original Resmi Indonesia Bergaransi ..dengan diberi nomor telpon Service Centernya.... Memory yang tersedia ternyata juga tidak sampai 2 TB tetapi 1.81 TB  selisih 0.19 TB ...besar banget selisihnya..tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak...tapi tidak begitu masalah...  Eksternal hardisk ini bekerja bagus, cepat dan  Hadiah hardcase cukup bagus  untuk melindungi barang  ini dari debu dan benturan. Sayangnya saat di registrasi ke Official Webnya WD ternyata Identification Numbernya tidak dikenal..tidak valid...alias barang ini bukan asli..alias KW.. Seller responsif sayangnya tidak memberitahu asli tidaknya barang ini. Pengiriman terhitung cepat..dalam 2 hari barang sudah di tangan.. Mudah2an saja barang ini awet wslaupun tdk original",neg
barang bagus peking rapih. gua rekomendasikan banget lah klo barangnya.cma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti. mending buat pengiriman lain deh lbi bgus,pos
"Mantab, speed konsisten, total size asli 1.81gb, pas. Sejauh ini masih normal digunakan. Nice job seller n Lazada 👍🏻",pos
"barang belum terima....pihak lazada bilang sidah diterima. cek di JNE lhoksukon aceh utara barang tidak ada...ada masalah, petigasnya tdk ramah, dan tdk ada solusk. mana yg benar. email ke CS JNE sama CS Lazada tdk ada reapon. bagaimana nasih barang saya harga 1 jt an",neg
Smuanya mntap..,pos
"pengiriman cepat, hr ini kirin lusa udh terima. packing rapi pake bubble jg. kwalitas product oke. Tq.",pos
Saya rekomendasikan beli disini,pos
sudah sampaiii,pos
"warna sesuai pesanan, spek persis, ok dah",pos
"thanks, respon cepat Hdd Ext 2TB sampai sesuai pesanan.",pos
"Original, Packing rapi.",pos
Barang good condition and delivery ok,pos
mantap,pos
barang oke,pos
"Foto produk sesuai dengan asli. Warna birunya bagus. Saya pesan, dan bayar produk ini pada tanggal 21 Oktober 2018, dan produk ini datang pada tanggal 23 Oktober 2018 dalam kondisi baik, dan berfungsi untuk Macbook Pro saya meskipun saya harus format dahulu. Saya mendapat bonus poket untuk external HDD saya ini. Mudah-mudahan produk ini awet. Terima kasih Lazada.",pos
"Packing rapi dan pengiriman tepat waktu. Sejauh ini berfungsi dengan baik, harapannya semoga awet ni barang🙏",pos
"Barangnya bagus, kecil/compaq, dan packing baik",pos
good Product with reasonable Price,pos
"Packing Rapi, kualitas oke, fitur2 persis seperti deskripsi, desain keren... cuma yg kurang puas di segi kecepatan transfer hanya mentok di 9-10 Mb/s",pos
"Gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive,,,,mohon penjelasannya,,barang sdh saya buka.....saya br x ini kecewa",neg
"Smua yang di ulasan bener smua apa mreka kata, kapasitas terbaca 29.5GB karena terpakai sistem, pengiriman lebih cepat dari extimasi",pos
"barang sdh diterima, pengirimannya cepat, data yg terbaca 29.1GB (iya karena space 32GB tdk terbaca 32GB full) terima kasih atas fast responnya, n barangnya ori.",pos
"Pengiriman cepet  , tapi tranfer failnya lemot",neg
flashdisknya bagus tapi jatoh sama teman akhirnya rusak untuk mengeluarkan nya,pos
"Cepet sampai, barang asli, bagus lah. Thanks LAZADA",pos
BARANG CEPAT CUMA 2 HARI GARANSI RESMI MANTABB,pos
"Cepet sampai 1 hari udah sampai,, barang bagus gk cepet panas walau di pake lama,, pokoknya mantab",pos
Bagus. Packing rapi. Modelnya aku suka. Thanks lazada!,pos
"Barang bagus, pertahankan",pos
"Barangnya sudah saya terima , kondisi sangat baik  Trimakasih Lazada",pos
Produk oke dan Original by Datascrip tapi sayang kapasitas bersihnya 29GB,pos
"pengiriman cepet, barang bagus, transfer data lebih cepat daripada tipe Cruzer Switch",pos
produk mantap sesuai deskripsi,pos
Good,pos
produk sesuai pengiriman cepat,pos
Produk Bagus,pos
barang sangat bagus trimakasih,pos
Barang yg dikirim tidak seperti yang di gambar,pos
Barang yg sampe Cruzer yg biasa tidak sesuai di gambar tapi size-nya 64GB,neg
cukup bagus,pos
Barang saya ko gaada ya? Padahal saya ngasih alamatnya bener dan saya cek di situs jnenya alamat tujuannya kok salah? Mohon diperiksa kembali.. saya beli barang bebarengan dengan yang lain yg lainnya udh sampai tapi beli di sini gaada barangnya sampai sekarang..,neg
kecewa alias barang aspal ya lumayan buat isi mp3 sih banyak lagunya,neg
"flashdisk 64gb tpi isi cm 2gb,gk bs dipakai",neg
Tidak bisa berfungsi menyimpan data,neg
"Barang tidak pernah sampai yg hitam,yg putih ga bisa dipake",neg
"Pengiriman lama, warna yang dateng putih bukan hitam",neg
"KRN PESANAN TDK SESUAI DENGAN KIRIMANNYA ,DR WARNA SAJA SAYA PESAN HITAM DIKIRM PUTIH DAN TIDAK BISA DIPAKAI DI LABTOP ANAK SAYA . SEHARUSNYA TIDAH SEPERTI ITU YAH",neg
"Flashdisk saat dicopy file yg kebaca setengah doang,  ud mana beli 2, saya tertipu pantes g garansi, hati hati untuk yg mau beli",neg
"Ketika barang datang, masih di luar kota. 2 minggubkemudian baru cek barang. Dari awal muncul pertanyaan karena di pembungkusnya sendiri tulisannya toshiba kapasitas 8 GB, sedangkan di Flashdisk memang tertulis 64 GB. Setelah dicoba untuk kopi file, ternyata banyak yang failed. Dan yang berhasil dikopi ternyata juga tidak dapat dibuka. Sepertinya ini hanyalah produk gagal buatan OEM yang dibuat asal-asalan untuk dijual murah. Dan pihak toko terlanjur membeli dalam jumlah banyak kemudian berusaha menjual dengan segala cara.",neg
rusak gk bisa dipakai 😢 kapok,neg
Ga bisa dipakai...,neg
Barangnya lama sekali,neg
"produk jauh dari yang diharapkan, sangat kecewa.",neg
Kok dapet nya warna biru,neg
"Barang diterima cepat, seller n lazada pelayanan bagus.. kemasan rapi kasih plastik tebal lagi, good.. tvnya cakep sesuai gambar n speknya, display cukuplah sesuai.. sempat ada baut casing lepas dikencangkan ternyata bisa,,  recomended buat yang nyari.. :)",pos
1 HARI ORDER BESOK LANGSUNG SAMPAI FAST RESPON FAST SELLER,pos
bagus barangnya⭐⭐⭐⭐⭐,pos
Mantab.... Reseller nya... Pengiriman cepat dan pakingan ok... Thank's... Reseller dan lazada... Sukses selalu.... Buat reseller dan lazada....,pos
"packing dan barangnya Ok, namun bonus pouch ukurannya terlalu kecil untuk tempat hardisk nya",pos
"Pengiriman cepat. Kualitas gambar bagus, terutama kualitas suaranya oke. DVB T2 berfungsi baik. Cuma remote ada yg error. Tombol source tidak fungsi, jd kalau mau ganti ke usb, hdmi atau lainnya mesti pencet tombol fisik di tvnya. Sudah minta ganti ke seller, malah disuruh contact Aquanya. Kata Aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya. Ribet deh dipingpong...😤",pos
Saya pesan uang sdah d transfer tapi barng tdk sampai,neg
Laptop nya bagus,pos
Tidak bisa di kurangi ya biar jadi 1.000000,neg
"Ditulis khusus jabodetabek,tp tersedia diwilyah lampung... dibeli tp dicancel krn diluar daerah. Klo gk bisa harusnya dtulis tdk tersedia diwil.anda..",neg
Gambarnya tidak keliatan,neg
"Terimakasih, barang nya memuaskan semoga awet juga",pos
Mantuulll,pos
alhamdulillah ....puas.wlau pengirimannya   hmpr mlm...tpi semuanya ok.,pos
"Barangnya bagus,suara dan gambar jernih mudah mudahan awet,pengepakanya rapi,datang tepat waktu,kurirnya juga ramah.makasih Lazadd",pos
"Barang cukup memuaskan, seller responsif,packing aman karena dari kayu yah.. tpi pengirimannya agak sedikit lama, tpi its ok, yang penting barang sudah sampai",pos
"Packing rapih dan aman banget barangnya, pengiriman cepat (hari ini order, besok langsung dateng). Pokonya seller recommended, dari segi harga juga bersaing. :) ;) :D",pos
"TV nya sudah datang alhamdulillah, amin.",pos
produknya sesuai dgn gambar... puas bgt,pos
"tv,a bagus bngt, layar,a jga jernih bngt",pos
"puas sama.produknya, bagus n berkualitas",pos
good job,pos
bgs...,pos
Siip,pos
Aku puas banget sama layanan di Lazada. Pengirimannya cepat. Barangnya juga gak lecet sedikit pun. Terimakasih Lazada....,pos
barang asli dan sesuai,pos
"WD My Passport 4TB, harga paling murah dibanding tempat lain (sudah cek online dan offline), barang bagus (sudah di cek total kapasitas 3.64TB), original (bisa di-register ke web WD nya untuk garansi 3 thn), diberi beberapa software utility free diantaranya WD Security (untuk protect HD agar tdk bisa dibuka orang lain) dan ada bonus pouch, lumayan buat tempat HD nya. :)",pos
"Order Mi Notebook Air Gold 12.5 inch sampai sesuai harapan. Barangnya asli, packagingnya aman, bagus, sellernya informatif, cepat dikirimnya dan sudah ready terinstall dengan windows 10 english version. Terima kasih banyak seller :)",pos
"Pengiriman barang ternyata sangat cepat. Hari ke-2 barang sudah diterima dalam keadaan baik. Packing rapih dan setelah dicek, laptop bekerja sesuai harapan. Terima kasih atas layanannya yang sangat baik",pos
"Pengirimannya benar-benar top, packingnya rapi dan aman. Barangnya oke..Windowsnya udah pakai Win 10 English version... Top deh...",pos
Lebih keren dari perkiraan awal.. Windows 10 sudah dikonfersi ke bahasa inggris.. Mantab..,pos
Gan kok gak dapat di kirm ke NAD. Disitu tertulis barang ini tidak dapat di kirim ke lokasi anda,neg
Pelayanannya baik,pos
Pengiriman cepat barang di terima dengan baik dan lengkap langsung coba... dapat bonus USB LED dll. Recommended Seller,pos
"Barang bagus, awet sampai sekarang",pos
"pemasangan anti virus oleh pihak WD secara online, dibantu memasang juga, mantap #Lazadaterpercaya",pos
"Pengiriman cpt smp.  Produk bagus, sesuai gambar. Trims...",pos
"Saya kira antivirusnya ada kasetnya, eh ternyata cuma dikasih nomor serial disuruh download sendiri. Overall bagus lah, pengiriman cepat cuma 1 hari datang",pos
hrg bersaing bagus,pos
"bagus koq. cm gak pake antivirusnya aja, ribet sih :D",pos
ntaps,pos
"Barang sudah diterima dan pengiriman lumayan cepat, tapi ada 2 hal yg harus penjual perhatikan: 1. di etalase tv dijual dengan bonus free Braket, tapi yang datang cuma tv nya doang braketnya ga ada, 2. ongkir tercantum Rp 200.000 saya kirim sesuai yg tercantum, tp pas di cek di resi yang tercantum oleh ekspedisi Cobra ternyara cuma 75.000. tetep konsumen yang dirugikan. toko ini jadi catatan buat saya kecuali menylesaikannya",pos
"TV nya udh seminggu blm sampai juga, Sepertinya harus meningkatkan pengiriman nya lebih diperhatikan supaya sampai sesuai estimasi, thanks",neg
sesuai pesanan.  bagus.  thanks gan,pos
Ok sesuai sm deksripsi,pos
"alhamdulillah barang sampai dengan aman karna peking yang bagus.. semoga barang awet, selalu amanah dan lancar rejekinya amiin 🤲",pos
"sesuai dengan pesanan, semoga awet ya",pos
"kualitas ori, kapasitas sesuao dengan dekripsinya",pos
barang bagus dengan harga ok,pos
Barang bagus dan berfungsi,pos
"packing ok, barang sesuai deskripsi.",pos
barangnya tiba dengan selamat & cepat. tapi kemasan otg nya nggak memuaskan.,neg
Siiplah pokonya.. Thanks lazada,pos
"mudah2 n awet barang nya,,ada hologram nya",pos
"Suka bgt barangx mulus lus lus and berfungsi dgan baik, thanks Lazada",pos
"Barang sampe sesuai pada waktu nya, packingan rapi. Terima kasih Lazada.",pos
mudah2n awet amin,pos
warna tidak sesuai,neg
eliminasi 2 hari packing rapi tapi warna gak sesuai yang di ingini tapi barang normal work,pos
Product oke sesuai destkripsi..dapet Tas backpack jga..recomend seller..good dah pkknya,pos
Laptop nya dikirim sangat top modal kaciwa,neg
Sesuai dengan keinginan dan kebutuhan,pos
"Paket sudah saya terima, terlambat sedikit pengirimannya tapi tidak apa apa. Thanks​ Lazada",pos
Respon cepat dan pengiriman cepat via go send,pos
"Flashdisk baru, waktu pas beli lagi diskon, packagingnya jga rapih so far so good",pos
"Barang cepet sampe, thanks",pos
"Brg sesuai , cuma delivery agak lama",pos
"Ok deh, mantep",pos
"flashdisk sandisk ok banget ada bonus lagi, terima kasih",pos
barangnya bagus untuk harga semurah ini,pos
Barang yg di kirim tidak sesuai dengan yang di tampilkan,neg
"Barang sudah sampe, untuk pengriman ke Kupang NTT waktunya termasuk cepat, packing safe dan rapi. Barang sesuai gambar dan spek yang ditawarkan. Tx lazada + kenkez",pos
Tengkyuu.... Barangnya nyampe tepat waktu.... Packing rapi dan savety banget .. Recommended seller,pos
"Terlambat satu hari, karena kurir sampai dikantor pada malam hari. Jd besoknya baru bisa saya terima. Tp barang saya terima dengan baik. Terima kasih",pos
Barang sesuai pemesanan. Pengiriman cepat(Jakarta),pos
"Harddisk berjalan dengan baik, kelengkapan juga oke",pos
"2bulan pake crashed, pdhl ga prnah jatoh",neg
"Jum'at pesan besoknya nyampai,  Barang bagus, tdk ada cacatnya,  Terima kasih Lazada.",pos
"Maaf baru sempat review.  Secara umum cukup puas dengan layanan penjual. Packing bagus, rapih dan aman. Fisik barang sesuai gambar dan ulasan yang ada di website, hanya saya mis-informasi aja karena ternyata HD External WD ini gak dapat sarungnya.  Overall, saya rekomendasi sellernya. Thanks dan tingkatkan selalu pelayanannya, Sukses!!",pos
mantapppp....,pos
"bagus, sesuai pesanan",pos
"Flashdisk nya lucu,, sesuai dengan gambar pokoknya suka",pos
Cukup memuaskan,pos
Sip,pos
"Diresponnya cepat, 2 hari datang, USB nya gak mengecewakan, sama kayak yang digambar",pos
barang diantar dengan cepat dan sesuai dengan penjelasan yang ada. penjual merespondengan cepat.,pos
Wkt baca2 di keterangannya ini bkn ori alias kw tp coba krn review yg lain jg ok. Tp memang ok bgt bs dipakai dgn baik. Bole yg mau beli..,pos
barang nya sesuai dan mulus di bungkus rapi,pos
bagus,pos
"Matul bangetz barangnya berfungsi sesuai harapan, sukses trus bwt toko dan lazada, pengiriman super cepat blum waktunya udah lngsung dikirim mantul dah poko'e",pos
Maap Bru ksi ulasan.barang yampe dengan slamt dan  Aman Tpi belum di coba krna belum sempet Moga awet dan dan bagus 🙏,pos
"barang sesuai pesanan, pengiriman tepat waktu, paking rapih, puas banget",pos
ok,pos
"Ini cuman My Passport biasa, bukan My Passport ULTRA, tulis deskripsi yang bener ya...",neg
Awet...,pos
Untuk semua hardisk kah gan ?,pos
"Product ok, sesuai dengan foto,pengiriman lebih cepat dari estimasi,ok",pos
good,pos
Barang sesuai gambar dan bagus,pos
tidak sesuai gambar,neg
"Barang sampai dengan baik, packingnya bagus. Isi kotaknya lengkap, ada : casing hdd, kabel male-to-male, obeng kecil, baut, sama wadah luar. Alhamdulillaah bisa digunakan dengan baik, semoga awet. Terima kasih :)",pos
"Pengiriman cepat, Packing rapi dan aman.  Barang sesuai deskripsi. Mulai dati pemasangan sampai pemakaian tak ada kendala, bekerja dengan normal.",pos
Packing rapih Semoga awet Thanks lazada,pos
packingnya rapi barangnya bagus dan murah tq,pos
Lumayan lah untuk harga segini. Sayang ngebaca hdd 700gb lemot euy,pos
"Cukup puas barang..., trima ksih lazada",pos
bagus ..,pos
lumayan,pos
"Barang bekerja dengan baik, harga murah, tapi pengiriman agak lama. Sukses terus lazada.",pos
"Cepat sampai, original, sudah di test dan sekarang jd tandem SSD intel saya, terima kasih.",pos
pengiriman cepat barang bagus,pos
"recomended, thx",pos
sesuai tapi powerbanknya ringan sekali (sesuai harga sih...),pos
barang dipacking kuat dan rapih..cepat sampai sesuai estimasi..trimakasih kotakom...,pos
"Barang di pesan tanggal13 juli  Tgl14 barang sudah di kirim  Tanggal 26 barang sampai Memang sedikit lama,tapi saya maklum kok karena barang nya dari luar negri Packing rapi Barang berfungsi dengan baik",pos
good dan bisa di pake,pos
"Udah hampir 2 minggu barang belum jg nyampe.order tgl 27 april 2017,status pesanan masi aja dlm proses.gmana ni lazada?",neg
"Barangnya udah sampai, thanks lazada",pos
"Barang datang cepat, mulus.. semoga tidak ada masalah kedepannya",pos
"Hanya bisa menyimpan sedikit file, padahal kapasitas 16 GB. Sebagian besar file lainnya tidak bisa terbaca padahal sudah saya coba beberapa kali.",neg
Tidak bisa menyimpan data,neg
Ga kecewa deh barang keren kemasan rapih makasih bos,pos
Barang oke,pos
Karna tidak bisa nyimpan film dan data,pos
Bagus produknya,pos
"pesanan saya yg ini belum saya terima, kenapa dibuat sudah saya terima?!  Tolong dong ini dicek lagi.",pos
barangnya bagus,pos
blom keterima,neg
Produk nya mantap 👍,pos
So far so good,pos
Barang ok. Kiriman tepat waktu,pos
sesuai,pos
Barang Bagus tapi sayang pengiriman dari pihak J&T barangnya kesasar ke kota Pamekasan.  padahal sudah tercantum kota Sampang.  Utk J&T lebih hati-hati lagi ya.  untung tidak hilang barangnya.  utk Seller TOP Fast Response.,pos
barang nyampai dgn mulus tdk ada cacat,pos
Thanks lazada barang nya sesuai expektasi...,pos
"barang good, pengiriman cepat, kurir mantap ramah, makasih lazada",pos
barang berfungsi normal...semoga awet...,pos
barang sesuai deskripsi dan orderan..,pos
"Falshdisk bagus,, berfungsi dengan baik,,",pos
"barang sesuai pesanan, mantab",pos
thx lazada semoga fdnya awet,pos
"pengiriman cepat, smoga awet..",pos
"pengiriman cepat, brgnya mantap👍👍👍",pos
sampai dgn selamat dan aman,pos
saya belum terima barangnya,pos
"Brg ok, sampai cepat",pos
good,pos
Mantap,pos
sip,pos
"Pengiriman on time. Cuman packing sederhana sekali, tanpa bubble wrap.",pos
Kurir baik n bertanggungjawab Barang sesuai spesifikasi semoga awet ya...,pos
barang cepat sampai & sesuai pesanan,pos
"barang ok,kemasan rapih...",pos
barang oke,pos
good,pos
mantap sesuai pesanan nih mah pokok nya joss,pos
bagus dan sangat sesuai dengan kebutuhan,pos
"Lumayan dengan harga segitu, packing rapih, pengiriman cepat, semoga tidak ada kendala",pos
"Mudah mudahan bisa beli laptop mahals, kalo bisa beli asus rog aja wkwk",pos
"Yah lumayan lah,tapi saya ketemu ram 16gb ddr4 pake rx460 i7 6700hq malah 9 jutaan",pos
Kecil banget ukurannya 😂 tpi lucu sih..,pos
Harddisk tahan banting dengan standard Militer. ADATA udah jaminan mutu. Tidak diragukan lagi kualitas produknya.,pos
sangat puas. barang sesuai.,pos
